,word,syll,index,segment,quantity,accent,ictus,duration,midpoint,f1,f2,euc
0,mis,mis,0,i,3,1,ictus,0.16259822347079966,1.5375771729598897,516.3135519329262,1134.9039035142496,618.5903515813234
1,see,see,0,eeː,3,1,off,0.20024836124352996,1.7494740993398155,335.9035826684925,2327.364302481218,1991.4607198127255
2,kul´li,kul´,0,ul,a2,1,off,0.2697718597819918,1.9707609298909958,331.6868749668249,1789.3215702736773,1457.6346953068523
3,kul´li,li,1,i,1,0,ictus,0.2098455948817839,2.0869550749808568,841.6836540015181,1835.0923111046855,993.4086571031673
4,talu,ta,0,a,1,1,ictus,0.3648689539549643,4.942881112282341,496.54351119574835,1596.375205812324,1099.8316946165758
5,talu,lu,1,ʊ,1,0,ictus,0.2326004178176717,5.054229347230832,302.74326135403726,1695.979745385168,1393.2364840311307
6,"anisida,",a,0,a,1,1,off,0.3704565308313441,5.30838566915334,1104.5690458252739,2220.3407333840614,1115.7716875587876
7,"anisida,",ni,1,ɪ,1,0,off,0.23593342716029753,5.394687802015523,902.6644021604295,1834.505644078326,931.8412419178965
8,mõisa,mõi,0,ɵi,a2,1,off,0.30258256059852684,5.952162492571317,678.7908473239381,1315.8749474214478,637.0841000975097
9,mõisa,sa,1,a,1,0,off,0.20001118148688946,6.037346577138003,680.1761481519691,1617.6166609266106,937.4405127746415
10,paari,paa,0,aː,a2,1,ictus,0.30560458451021866,6.293461763307963,645.1467754478587,1689.17150601851,1044.0247305706512
11,paari,ri,1,i,1,0,ictus,0.14696792193055508,6.325827966047187,650.7354936923645,1842.6890710308924,1191.9535773385278
12,"partisida,",par,0,a,a2,1,off,0.13022922635378542,6.445211321826822,566.2236153956399,1823.8102805865442,1257.5866651909043
13,"partisida,",ti,1,i,1,0,off,0.1922142554285866,6.686912683269848,486.18753323040403,1723.3899758654404,1237.2024426350363
14,kõrtsi,kõrt,0,ɵ,a2,1,off,0.13979675456777407,7.122174454381391,874.6237431638124,1401.2672483602598,526.6435051964474
15,kõrtsi,si,1,i,1,0,off,0.17754864585534058,7.353754711614977,799.9659535925452,1385.0404960116641,585.0745424191189
16,kirju,kir,0,i,a2,1,off,0.15640487827843508,7.476287841745516,838.7453788381471,1394.5280024718772,555.7826236337302
17,kirju,ju,1,u,1,0,ictus,0.1755307947535698,7.697093732842843,684.6056527250956,1121.3389735854423,436.7333208603467
18,kul´li,kul´,0,ul,a2,1,ictus,0.2777319367283546,9.188300775620416,791.6147995569913,1475.2000478642822,683.5852483072908
19,kul´li,li,1,i,1,0,ictus,0.189822386020559,9.280722491632154,782.3370288368595,1287.5095227445152,505.1724939076556
20,piakene?,pia,0,i,3,1,off,0.3040579195076205,9.552731421215832,749.9823633670384,1183.652674460065,433.6703110930267
21,piakene?,ke,1,a,1,0,off,0.18811200356856972,9.588814465030591,642.9141872217265,1238.9691801246906,596.0549929029642
22,Nii,nii,0,iiː,3,1,ictus,0.2886728990320364,10.200064324452992,936.1632056665073,1483.6877925386248,547.5245868721174
23,kui,kui,0,uiː,3,1,off,0.22919415987048097,10.32084527670136,819.4219464055914,1373.7467876551168,554.3248412495254
24,mõisa,mõi,0,ɵi,a2,1,off,0.29253411185642975,10.54294902871733,493.8330504917946,1372.1235845373064,878.2905340455118
25,mõisa,sa,1,a,1,0,ictus,0.22901259662967988,10.66838476216256,468.2230100152198,1598.4202144059327,1130.1972043907128
26,mõõduvakk.,mõõ,0,ɵː,a2,1,ictus,0.3640256352485167,10.95849848322434,478.43772091606684,1995.6810397975478,1517.243318881481
27,mõõduvakk.,du,1,u,1,0,off,0.20529352685526803,11.016700256301863,775.9705559709915,1661.7871337194968,885.8165777485052
